bart,espn_match,suggestions
N.C. State,,"NC State, Coppin State, App State"
St. Thomas,,"St. Thomas-Minnesota, St. John's"
Illinois Chicago,,"Illinois State, Illinois, Loyola Chicago"
FIU,,
Penn,,
Queens,,
American,,
Appalachian St.,,
LIU,,LSU
Nebraska Omaha,,Nebraska
Tennessee Martin,,"Tennessee, Tennessee State, Tennessee Tech"
Southeastern Louisiana,,"Southern Indiana, SE Louisiana, Southern Miss"
IU Indy,,
USC Upstate,,"NC State, South Carolina Upstate"
New Haven,,"New Hampshire, New Orleans"
Loyola MD,,"Loyola Maryland, Loyola Marymount, Loyola Chicago"
Louisiana Monroe,,"Louisiana Tech, Louisiana, SE Louisiana"
