Column1,Column2,Column3
kenpom,espn_match,suggestions
N.C. State,NC State,"NC State, Coppin State, App State"
St. Thomas,Florida International,"St. Thomas-Minnesota, St. John's"
Illinois Chicago,UIC,"Illinois State, Illinois, Loyola Chicago"
Queens,Queens University,
Penn,Pennsylvania,
FIU,Florida International,
CSUN,Cal State Northridge,
Tennessee Martin,UT Martin,"Tennessee, Tennessee State, Tennessee Tech"
American,American University,
LIU,Long Island University,LSU
Appalachian St.,App State,
SIUE,Southern Illinois,
Nebraska Omaha,Omaha,Nebraska
Southeastern Louisiana,SE Louisiana,"Southern Indiana, SE Louisiana, Southern Miss"
USC Upstate,South Carolina Upstate,"NC State, South Carolina Upstate"
IU Indy,IU Indianapolis,
Loyola MD,Loyola Maryland,"Loyola Maryland, Loyola Marymount, Loyola Chicago"
New Haven,,"New Hampshire, New Orleans"
Louisiana Monroe,UL Monroe,"Louisiana Tech, Louisiana, SE Louisiana"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
