kenpom,espn_match
Michigan,Michigan
Arizona,Arizona
Duke,Duke
Houston,Houston
Iowa St.,Iowa State (fuzzy)
Gonzaga,Gonzaga
Purdue,Purdue
Illinois,Illinois
Michigan St.,Michigan State (fuzzy)
Florida,Florida
Connecticut,UConn
Nebraska,Nebraska
Virginia,Virginia
BYU,BYU
Vanderbilt,Vanderbilt
Louisville,Louisville
Kansas,Kansas
Alabama,Alabama
Texas Tech,Texas Tech
Iowa,Iowa
Arkansas,Arkansas
St. John's,St John's
Tennessee,Tennessee
Saint Louis,Saint Louis
Kentucky,Kentucky
Villanova,Villanova
Georgia,Georgia
N.C. State,NC State
Clemson,Clemson
Auburn,Auburn
SMU,SMU
Saint Mary's,Saint Mary's
North Carolina,North Carolina
Utah St.,Utah State (fuzzy)
Indiana,Indiana
Wisconsin,Wisconsin
Ohio St.,Ohio State (fuzzy)
Texas A&M,Texas A&M
Miami FL,Miami
UCLA,UCLA
Texas,Texas
LSU,LSU
Santa Clara,Santa Clara
San Diego St.,San Diego State (fuzzy)
New Mexico,New Mexico
UCF,UCF
VCU,VCU
Baylor,Baylor
Seton Hall,Seton Hall
Washington,Washington
USC,USC
Creighton,Creighton
TCU,TCU
Cincinnati,Cincinnati
Missouri,Missouri
Virginia Tech,Virginia Tech
Butler,Butler
West Virginia,West Virginia
Akron,Akron
Tulsa,Tulsa
Northwestern,Northwestern
Oklahoma,Oklahoma
Nevada,Nevada
Providence,Providence
Belmont,Belmont
Oklahoma St.,Oklahoma State (fuzzy)
McNeese,McNeese
Boise St.,Boise State (fuzzy)
Mississippi,Mississippi State (fuzzy)
Wake Forest,Wake Forest
Syracuse,Syracuse
South Carolina,South Carolina
George Mason,George Mason
California,California
George Washington,George Washington
South Florida,South Florida
Stanford,Stanford
Dayton,Dayton
Yale,Yale
Colorado,Colorado
Minnesota,Minnesota
Grand Canyon,Grand Canyon
Notre Dame,Notre Dame
Kansas St.,Kansas State (fuzzy)
Mississippi St.,Mississippi State (fuzzy)
Illinois St.,Illinois State (fuzzy)
Xavier,Xavier
Miami OH,Miami (OH) (fuzzy)
Oregon,Oregon
Colorado St.,Colorado State (fuzzy)
Murray St.,Murray State (fuzzy)
Arizona St.,Arizona State (fuzzy)
Florida Atlantic,Florida Atlantic
Liberty,Liberty
Stephen F. Austin,Stephen F Austin
High Point,High Point
Memphis,Memphis
Hawaii,Hawai'i (fuzzy)
Pittsburgh,Pittsburgh
Wichita St.,Wichita State (fuzzy)
Georgetown,Georgetown
Wyoming,Wyoming
Utah Valley,Utah Valley
UC San Diego,UC San Diego
San Francisco,San Francisco
Florida St.,Florida State (fuzzy)
DePaul,DePaul
Northern Iowa,Northern Iowa
Rhode Island,Rhode Island
Sam Houston St.,Sam Houston (fuzzy)
Troy,Troy
Bowling Green,Bowling Green
Hofstra,Hofstra
Maryland,Maryland
Utah,Utah
Richmond,Richmond
UNLV,UNLV
Pacific,Pacific
Seattle,Seattle U (fuzzy)
UNC Wilmington,UNC Wilmington
Marquette,Marquette
UC Irvine,UC Irvine
UAB,UAB
Winthrop,Winthrop
East Tennessee St.,East Tennessee State (fuzzy)
Duquesne,Duquesne
Georgia Tech,Georgia Tech
Penn St.,Penn State (fuzzy)
Oakland,Oakland
Davidson,Davidson
St. Thomas,Florida International
Fresno St.,Fresno State (fuzzy)
William & Mary,William & Mary
Cal Baptist,California Baptist (fuzzy)
Bradley,Bradley
New Mexico St.,New Mexico State (fuzzy)
North Dakota St.,North Dakota State (fuzzy)
Southern Illinois,Southern Illinois
UC Santa Barbara,UC Santa Barbara
Mercer,Mercer
UT Arlington,UT Arlington
Temple,Temple
North Texas,North Texas
Wright St.,Wright State (fuzzy)
Montana St.,Montana State (fuzzy)
Arkansas St.,Arkansas State (fuzzy)
Kent St.,Kent State (fuzzy)
Boston College,Boston College
Middle Tennessee,Middle Tennessee
Illinois Chicago,UIC
Washington St.,Washington State (fuzzy)
Lipscomb,Lipscomb
Loyola Marymount,Loyola Marymount
Montana,Montana
Portland St.,Portland State (fuzzy)
Rutgers,Rutgers
St. Bonaventure,St Bonaventure
Valparaiso,Valparaiso
Towson,Towson
Toledo,Toledo
Marist,Marist
Queens,Queens University
Furman,Furman
UC Davis,UC Davis
Drake,Drake
Kennesaw St.,Kennesaw State (fuzzy)
Elon,Elon
Austin Peay,Austin Peay
Western Kentucky,Western Kentucky
Northern Kentucky,Northern Kentucky
Marshall,Marshall
Columbia,Columbia
Siena,Siena
Harvard,Harvard
Saint Joseph's,Saint Joseph's
Northern Colorado,Northern Colorado
Quinnipiac,Quinnipiac
Charleston,Charleston
Tarleton St.,Tarleton State (fuzzy)
Charlotte,Charlotte
Penn,Pennsylvania
Massachusetts,Massachusetts
Texas A&M Corpus Chris,Texas A&M-Corpus Christi (fuzzy)
South Dakota St.,South Dakota State (fuzzy)
Buffalo,Buffalo
Campbell,Campbell
Cornell,Cornell
Eastern Michigan,Eastern Michigan
Idaho,Idaho
Tulane,Tulane
Missouri St.,Missouri State (fuzzy)
Colgate,Colgate
Navy,Navy
FIU,Florida International
Indiana St.,Indiana State (fuzzy)
Robert Morris,Robert Morris
Cal St. Fullerton,Cal State Fullerton (fuzzy)
Portland,Portland
Central Arkansas,Central Arkansas
UT Rio Grande Valley,UT Rio Grande Valley
Fordham,Fordham
San Diego,San Diego
CSUN,Cal State Northridge
South Alabama,South Alabama
Tennessee Martin,UT Martin
Weber St.,Weber State (fuzzy)
Idaho St.,Idaho State (fuzzy)
Jacksonville St.,Jacksonville State (fuzzy)
Drexel,Drexel
Merrimack,Merrimack
American,American University
Youngstown St.,Youngstown State (fuzzy)
Monmouth,Monmouth
Vermont,Vermont
LIU,Long Island University
New Orleans,New Orleans
Utah Tech,Utah Tech
Lamar,Lamar
La Salle,La Salle
Appalachian St.,App State
UNC Asheville,UNC Asheville
Purdue Fort Wayne,Purdue Fort Wayne
Wofford,Wofford
Oregon St.,Oregon State (fuzzy)
Charleston Southern,Charleston Southern
Dartmouth,Dartmouth
Nicholls,Nicholls
Ohio,Ohio
Florida Gulf Coast,Florida Gulf Coast
Princeton,Princeton
Iona,Iona
Saint Peter's,Saint Peter's
Southern Miss,Southern Miss
Lindenwood,Lindenwood
Long Beach St.,Long Beach State (fuzzy)
Eastern Washington,Eastern Washington
Incarnate Word,Incarnate Word
Green Bay,Green Bay
Hampton,Hampton
Louisiana Tech,Louisiana Tech
Rice,Rice
Old Dominion,Old Dominion
Stony Brook,Stony Brook
James Madison,James Madison
San Jose St.,San José State (fuzzy)
Tennessee St.,Tennessee State (fuzzy)
Coastal Carolina,Coastal Carolina
Southeast Missouri,Southeast Missouri State (fuzzy)
Western Michigan,Western Michigan
Southern,Southern
Milwaukee,Milwaukee
Northeastern,Northeastern
Georgia Southern,Georgia Southern
Abilene Christian,Abilene Christian
SIUE,Southern Illinois
Radford,Radford
Samford,Samford
Eastern Kentucky,Eastern Kentucky
Denver,Denver
Chattanooga,Chattanooga
Howard,Howard
Cal Poly,Cal Poly
Bethune Cookman,Bethune-Cookman (fuzzy)
Brown,Brown
East Carolina,East Carolina
Texas St.,Texas State (fuzzy)
Pepperdine,Pepperdine
Nebraska Omaha,Omaha
Fairfield,Fairfield
Southeastern Louisiana,SE Louisiana
UMBC,UMBC
Le Moyne,Le Moyne
UTEP,UTEP
Georgia St.,Georgia State (fuzzy)
Presbyterian,Presbyterian
Longwood,Longwood
UC Riverside,UC Riverside
Grambling St.,Grambling (fuzzy)
Sacred Heart,Sacred Heart
Southern Utah,Southern Utah
South Dakota,South Dakota
Western Carolina,Western Carolina
Detroit Mercy,Detroit Mercy
Sacramento St.,Sacramento State (fuzzy)
Bellarmine,Bellarmine
East Texas A&M,East Texas A&M
Northwestern St.,Northwestern State (fuzzy)
Central Connecticut,Central Connecticut
Evansville,Evansville
North Dakota,North Dakota
Little Rock,Little Rock
Boston University,Boston University
Jacksonville,Jacksonville
Mercyhurst,Mercyhurst
Mount St. Mary's,Mount St Mary's
Delaware,Delaware
Alabama A&M,Alabama A&M
Albany,UAlbany (fuzzy)
Houston Christian,Houston Christian
Norfolk St.,Norfolk State (fuzzy)
Morehead St.,Morehead State (fuzzy)
USC Upstate,South Carolina Upstate
Alabama St.,Alabama State (fuzzy)
Prairie View A&M,Prairie View A&M
Lehigh,Lehigh
North Carolina A&T,North Carolina A&T
Cal St. Bakersfield,Cal State Bakersfield (fuzzy)
Loyola Chicago,Loyola Chicago
UNC Greensboro,UNC Greensboro
UMass Lowell,UMass Lowell
Eastern Illinois,Eastern Illinois
Ball St.,Ball State (fuzzy)
Florida A&M,Florida A&M
Northern Illinois,Northern Illinois
Lafayette,Lafayette
IU Indy,IU Indianapolis
Arkansas Pine Bluff,Arkansas-Pine Bluff (fuzzy)
Oral Roberts,Oral Roberts
Stetson,Stetson
Cleveland St.,Cleveland State (fuzzy)
Southern Indiana,Southern Indiana
New Hampshire,New Hampshire
Central Michigan,Central Michigan
Northern Arizona,Northern Arizona
Wagner,Wagner
Maryland Eastern Shore,Maryland Eastern Shore
Bucknell,Bucknell
Holy Cross,Holy Cross
Louisiana,Louisiana
Loyola MD,Loyola Maryland
Jackson St.,Jackson State (fuzzy)
North Alabama,North Alabama
Army,Army
Manhattan,Manhattan
NJIT,NJIT
Fairleigh Dickinson,Fairleigh Dickinson
West Georgia,West Georgia
Tennessee Tech,Tennessee Tech
New Haven,
New Haven,New Haven
Texas Southern,Texas Southern
North Florida,North Florida
Stonehill,Stonehill
Alcorn St.,Alcorn State (fuzzy)
Air Force,Air Force
Canisius,Canisius
Kansas City,Kansas City
Bryant,Bryant
UTSA,UTSA
North Carolina Central,North Carolina Central
Maine,Maine
VMI,VMI
Niagara,Niagara
Rider,Rider
The Citadel,The Citadel
Saint Francis,San Francisco (fuzzy)
Western Illinois,Western Illinois
Delaware St.,Delaware State (fuzzy)
Louisiana Monroe,UL Monroe
Chicago St.,Chicago State (fuzzy)
South Carolina St.,South Carolina State (fuzzy)
Morgan St.,Morgan State (fuzzy)
Binghamton,Binghamton
Gardner Webb,Gardner-Webb (fuzzy)
Coppin St.,Coppin State (fuzzy)
Mississippi Valley St.,Mississippi Valley State (fuzzy)
